tariff_name,exporter,importer,date
EU1,USA,EUR,20180622
EU2,USA,EUR,20180622
can,USA,CAN,20180701
chn16,USA,CHN,20180808
chn34,USA,CHN,20180706
chn3,USA,CHN,20180402
india,USA,IND,20180621
mexb,USA,MEX,20180705
turkey,USA,TUR,20180621
us_ARE_sa,ARE,USA,20180323
us_ARG_sa,ARG,USA,20180323
us_AUS_sa,AUS,USA,20180323
us_BHR_sa,BHR,USA,20180323
us_BRA_sa,BRA,USA,20180323
us_IND_sa,IND,USA,20180323
us_JPN_sa,JPN,USA,20180323
us_KOR_sa,KOR,USA,20180323
us_QAT_sa,QAT,USA,20180323
us_ROW_sa,ROW,USA,20180323
us_RUS_sa,RUS,USA,20180323
us_THA_sa,THA,USA,20180323
us_TUR_sa,TUR,USA,20180323
us_TWN_sa,TWN,USA,20180323
us_VEN_sa,VEN,USA,20180323
us_VNM_sa,VNM,USA,20180323
us_ZAF_sa,ZAF,USA,20180323
us_ca_sa,CAN,USA,20180601
us_cn_sa,CHN,USA,20180323
us_eu_sa,EUR,USA,20180601
us_mx_sa,MEX,USA,20180601
uscn34,CHN,USA,20180706
uscn16,CHN,USA,20180808
chn60b1,USA,CHN,20180924
chn60b2,USA,CHN,20190513
us200b1,CHN,USA,20180924
us200b2,CHN,USA,20190509
us300b1,CHN,USA,20190901
us300b2,CHN,USA,20191215
chn75b1,USA,CHN,20190901
chn75b2,USA,CHN,20191215
